Tiempo(ms),RPM,pwm
9856,0.0,7864
9860,0.0,7864
9864,0.0,7864
9868,0.0,7864
9872,0.0,7864
9876,0.0,7864
9880,750.0,7864
9884,0.0,7864
9888,0.0,7864
9892,0.0,7864
9896,0.0,7864
9900,0.0,7864
9904,0.0,7864
9908,750.0,7864
9912,0.0,7864
9916,0.0,7864
9920,0.0,7864
9924,750.0,7864
9928,0.0,7864
9932,0.0,7864
9936,0.0,7864
9940,0.0,7864
9944,750.0,7864
9948,0.0,7864
9952,750.0,7864
9956,0.0,7864
9960,0.0,7864
9964,750.0,7864
9968,0.0,7864
9972,750.0,7864
9976,0.0,7864
9980,750.0,7864
9984,0.0,7864
9988,750.0,7864
9992,0.0,7864
9996,750.0,7864
10000,0.0,7864
10004,750.0,7864
10008,0.0,7864
10012,750.0,7864
10016,0.0,7864
10020,750.0,7864
10024,750.0,7864
10028,0.0,7864
10032,750.0,7864
10036,750.0,7864
10040,0.0,7864
10044,750.0,7864
10048,750.0,7864
10052,0.0,7864
10056,750.0,7864
10060,750.0,7864
10064,750.0,7864
10068,0.0,7864
10072,750.0,7864
10076,750.0,7864
10080,750.0,7864
10084,0.0,7864
10088,750.0,7864
10092,750.0,7864
10096,750.0,7864
10100,750.0,7864
10104,750.0,7864
10108,0.0,7864
10112,750.0,7864
10116,750.0,7864
10120,750.0,7864
10124,750.0,7864
10128,750.0,7864
10132,750.0,7864
10136,750.0,7864
10140,750.0,7864
10144,750.0,7864
10148,750.0,7864
10152,750.0,7864
10156,750.0,7864
10160,750.0,7864
10164,750.0,7864
10168,750.0,7864
10172,750.0,7864
10176,750.0,7864
10180,750.0,7864
10184,750.0,7864
10188,750.0,7864
10192,750.0,7864
10196,750.0,7864
10200,1500.0,7864
10204,750.0,7864
10208,750.0,7864
10212,750.0,7864
10216,750.0,7864
10220,750.0,7864
10224,750.0,7864
10228,1500.0,7864
10232,750.0,7864
10236,750.0,7864
10240,750.0,7864
10244,750.0,7864
10248,1500.0,7864
10252,750.0,7864
10256,750.0,7864
10260,750.0,7864
10264,1500.0,7864
10268,750.0,7864
10272,750.0,7864
10276,750.0,7864
10280,1500.0,7864
10284,750.0,7864
10288,750.0,7864
10292,1500.0,7864
10296,750.0,7864
10300,750.0,7864
10304,1500.0,7864
10308,750.0,7864
10312,750.0,7864
10316,1500.0,7864
10320,750.0,7864
10324,750.0,7864
10328,1500.0,7864
10332,750.0,7864
10336,1500.0,7864
10340,750.0,7864
10344,1500.0,7864
10348,750.0,7864
10352,750.0,7864
10356,1500.0,7864
10360,750.0,7864
10364,1500.0,7864
10368,750.0,7864
10372,1500.0,7864
10376,750.0,7864
10380,1500.0,7864
10384,750.0,7864
10388,1500.0,7864
10392,750.0,7864
10396,1500.0,7864
10400,750.0,7864
10404,1500.0,7864
10408,750.0,7864
10412,1500.0,7864
10416,750.0,7864
10420,1500.0,7864
10424,1500.0,7864
10428,750.0,7864
10432,1500.0,7864
10436,750.0,7864
10440,1500.0,7864
