Tiempo(ms),RPM
2046,2250.00
2050,1500.00
2054,1500.00
2058,1500.00
2062,1500.00
2066,1500.00
2070,2250.00
2074,1500.00
2078,1500.00
2082,2250.00
2086,2250.00
2090,1500.00
2094,2250.00
2098,2250.00
2102,2250.00
2106,3000.00
2110,2250.00
2114,2250.00
2118,3000.00
2122,2250.00
2126,3000.00
2130,3000.00
2134,3000.00
2138,3000.00
2142,3000.00
2146,3750.00
2150,3000.00
2154,3750.00
2158,3000.00
2162,3750.00
2166,3000.00
2170,4500.00
2174,3750.00
2178,3750.00
2182,3750.00
2186,4500.00
2190,3750.00
2194,3750.00
2198,3750.00
2202,4500.00
2206,4500.00
2210,3750.00
2214,4500.00
2218,3750.00
2222,4500.00
2226,5250.00
2230,4500.00
2234,4500.00
2238,3750.00
2242,5250.00
2246,5250.00
2250,4500.00
2254,4500.00
2258,4500.00
2262,4500.00
2266,5250.00
2270,5250.00
2274,6000.00
2278,5250.00
2282,6750.00
2286,6750.00
2290,5250.00
2294,6000.00
2298,6750.00
2302,6750.00
2306,5250.00
2310,4500.00
2314,5250.00
2318,6000.00
2322,5250.00
2326,5250.00
2330,5250.00
2334,6750.00
2338,6750.00
2342,5250.00
2346,5250.00
2350,6000.00
2354,6000.00
2358,6000.00
2362,5250.00
2366,6000.00
2370,6750.00
2374,5250.00
2378,6000.00
2382,6750.00
2386,6000.00
2390,5250.00
2394,6750.00
2398,6000.00
2402,6000.00
2406,6000.00
2410,6000.00
2414,7500.00
2418,6000.00
2422,6750.00
2426,6000.00
2430,6750.00
2434,6750.00
2438,6000.00
2442,6000.00
2446,6750.00
2450,6000.00
2454,7500.00
2458,6000.00
2462,7500.00
2466,6000.00
2470,6750.00
2474,6000.00
2478,6750.00
2482,7500.00
2486,7500.00
2490,6750.00
2494,6750.00
2498,6750.00
2502,7500.00
2506,7500.00
2510,6750.00
2514,6750.00
2518,7500.00
2522,6750.00
2526,7500.00
2530,7500.00
2534,7500.00
2538,7500.00
2542,6750.00
2546,7500.00
2550,6750.00
2554,6750.00
2558,7500.00
2562,7500.00
2566,6750.00
2570,6750.00
2574,7500.00
2578,6750.00
2582,7500.00
2586,7500.00
2590,6750.00
2594,7500.00
2598,7500.00
2602,8250.00
2606,6750.00
2610,7500.00
2614,6750.00
2618,8250.00
2622,7500.00
2626,8250.00
2630,7500.00
2634,6750.00
2638,7500.00
2642,8250.00
2646,6750.00
2650,7500.00
2654,7500.00
2658,7500.00
2662,7500.00
2666,7500.00
2670,8250.00
2674,7500.00
2678,8250.00
2682,7500.00
2686,7500.00
2690,6750.00
2694,7500.00
2698,7500.00
2702,7500.00
2706,7500.00
2710,7500.00
2714,7500.00
2718,7500.00
2722,7500.00
2726,8250.00
2730,7500.00
2734,7500.00
2738,7500.00
2742,8250.00
2746,7500.00
2750,8250.00
2754,8250.00
2758,8250.00
2762,7500.00
2766,7500.00
2770,7500.00
2774,9000.00
2778,7500.00
2782,8250.00
2786,8250.00
2790,7500.00
2794,7500.00
2798,8250.00
2802,9000.00
2806,7500.00
2810,8250.00
2814,7500.00
2818,8250.00
2822,8250.00
2826,7500.00
2830,8250.00
2834,7500.00
2838,9000.00
2842,7500.00
2846,9000.00
2850,7500.00
2854,7500.00
2858,8250.00
2862,8250.00
2866,9000.00
2870,8250.00
2874,8250.00
2878,8250.00
2882,7500.00
2886,8250.00
2890,7500.00
2894,8250.00
2898,8250.00
2902,7500.00
2906,8250.00
2910,8250.00
2914,7500.00
2918,9000.00
2922,8250.00
2926,8250.00
2930,8250.00
2934,9000.00
2938,7500.00
2942,8250.00
2946,8250.00
2950,8250.00
2954,8250.00
2958,8250.00
2962,8250.00
2966,8250.00
2970,8250.00
2974,9000.00
2978,8250.00
2982,7500.00
2986,9000.00
2990,9000.00
2994,9000.00
2998,8250.00
3002,8250.00
3006,9000.00
3010,8250.00
3014,8250.00
3018,9000.00
3022,8250.00
3026,9000.00
3030,7500.00
3034,8250.00
3038,8250.00
3042,8250.00
3046,8250.00
3050,9000.00
3054,8250.00
3058,8250.00
3062,9750.00
3066,8250.00
3070,8250.00
3074,8250.00
3078,8250.00
3082,9000.00
3086,8250.00
3090,8250.00
3094,9000.00
3098,9000.00
3102,8250.00
3106,9000.00
3110,9000.00
3114,8250.00
3118,8250.00
3122,9000.00
3126,9000.00
3130,8250.00
3134,8250.00
3138,9000.00
3142,8250.00
3146,8250.00
3150,8250.00
3154,8250.00
3158,8250.00
3162,9000.00
3166,8250.00
3170,8250.00
3174,9000.00
3178,8250.00
3182,8250.00
3186,9000.00
3190,8250.00
3194,9000.00
3198,10500.00
3202,9000.00
3206,8250.00
3210,9750.00
3214,8250.00
3218,8250.00
3222,9000.00
3226,8250.00
3230,8250.00
3234,9000.00
3238,9000.00
3242,9000.00
3246,9750.00
3250,8250.00
3254,8250.00
3258,9750.00
3262,9000.00
3266,9000.00
3270,9000.00
3274,8250.00
3278,9000.00
3282,9000.00
3286,8250.00
3290,8250.00
3294,9000.00
3298,8250.00
3302,8250.00
3306,9750.00
3310,9000.00
3314,8250.00
3318,9000.00
3322,8250.00
3326,8250.00
3330,9000.00
3334,9750.00
3338,8250.00
3342,9000.00
3346,8250.00
3350,8250.00
3354,9750.00
3358,9000.00
3362,9000.00
3366,9000.00
3370,8250.00
3374,8250.00
3378,9750.00
3382,8250.00
3386,9000.00
3390,10500.00
3394,8250.00
3398,8250.00
3402,9750.00
3406,8250.00
3410,8250.00
3414,9000.00
3418,9000.00
3422,9000.00
3426,8250.00
3430,9000.00
3434,9000.00
3438,8250.00
3442,11250.00
3446,8250.00
3450,8250.00
3454,9000.00
3458,8250.00
3462,9000.00
3466,9000.00
3470,8250.00
3474,8250.00
3478,10500.00
3482,8250.00
3486,8250.00
3490,9000.00
3494,8250.00
3498,9000.00
3502,9000.00
3506,9000.00
3510,9000.00
3514,9000.00
3518,9000.00
3522,8250.00
3526,8250.00
3530,10500.00
3534,8250.00
3538,8250.00
3542,9750.00
3546,8250.00
3550,9000.00
3554,9000.00
3558,8250.00
3562,8250.00
3566,9750.00
3570,8250.00
3574,8250.00
3578,8250.00
3582,9750.00
3586,8250.00
3590,8250.00
3594,9000.00
3598,9000.00
3602,8250.00
3606,9750.00
3610,8250.00
3614,9750.00
3618,9000.00
3622,8250.00
3626,9000.00
3630,9750.00
3634,8250.00
3638,8250.00
3642,8250.00
3646,9000.00
3650,8250.00
3654,8250.00
3658,9000.00
3662,9000.00
3666,8250.00
3670,9750.00
3674,8250.00
3678,9000.00
3682,9750.00
3686,8250.00
3690,9000.00
3694,9000.00
3698,8250.00
3702,9000.00
3706,9000.00
3710,9000.00
3714,9000.00
